SecretID,SecretName,UnlockName,Type,Korean,bul,cs_cz,de,el_gr,en_us,fr,it,ja_jp,nl_nl,pl,pt,pt_br,ro_ro,ru,spa,tr_tr,uk_ua,vi,zh_cn,UnlockedFlag
153,Store Upgrade lv.3,Store Upgrade lv.3,Other,상점 업그레이드 Lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,Store Upgrade lv.3,1
154,Store Upgrade lv.4,Store Upgrade lv.4,Other,상점 업그레이드 Lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,Store Upgrade lv.4,1
155,Angels,Angel,Boss,천사 석상 파괴가능,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,Angel,1
156,Godhead,Godhead,Item,신,Божественост,Božství,Götterkopf,Θεότης,Godhead,Œil de la Providence,Divinità,神の首,Godhead,Bóstwo,Godhead,Godhead,Godhead,Божественность,Deidad,TanrıKafası,Божество,Godhead,神性,1
157,Darkness Falls,Darkness Falls,None,챌린지4,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,Darkness Falls,1
158,The Tank,The Tank,None,챌린지5,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,The Tank,1
159,Solar System,Solar System,None,챌린지6,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,Solar System,1
160,Suicide King,Suicide King (Challenge),None,챌린지7,Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),Suicide King (Challenge),1
161,Cat Got Your Tongue,Cat Got Your Tongue,None,챌린지8,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,Cat Got Your Tongue,1
162,Demo Man,Demo Man,None,챌린지9,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,Demo Man,1
163,Cursed!,Cursed!,None,챌린지10,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,Cursed!,1
164,Glass Cannon,Glass Cannon (Challenge),None,챌린지11,Стъклено оръдие,Skleněné Dělo,Glas-Kanone,Κανόνι από Γυαλί,Glass Cannon (Challenge),Canon de Verre,Cannone di Vetro,ガラスの大砲,Glass Cannon,Szklana Armata,Glass Cannon (Challenge),Glass Cannon (Challenge),Glass Cannon,Стеклянная пушка,Cañón de cristal,Cam Topu,Скляна гармата,Glass Cannon,玻璃大炮,1
165,The Family Man,The Family Man,None,챌린지19,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,The Family Man,1
166,Purist,Purist,None,챌린지20,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,Purist,1
167,Lost Baby,Lost Baby,Other,랜덤 패밀리어,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,Lost Baby,1
168,Cute Baby,Cute Baby,Other,랜덤 패밀리어,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,Cute Baby,1
169,Crow Baby,Crow Baby,Other,랜덤 패밀리어,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,Crow Baby,1
170,Shadow Baby,Shadow Baby,Other,랜덤 패밀리어,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,Shadow Baby,1
171,Glass Baby,Glass Baby,Other,랜덤 패밀리어,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,Glass Baby,1
172,Wrapped Baby,Wrapped Baby,Other,랜덤 패밀리어,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,Wrapped Baby,1
173,Begotten Baby,Begotten Baby,Other,랜덤 패밀리어,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,Begotten Baby,1
174,Dead Baby,Dead Baby,Other,랜덤 패밀리어,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,Dead Baby,1
175,#NAME?,#NAME?,Other,랜덤 패밀리어,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1
176,Glitch Baby,Glitch Baby,Other,랜덤 패밀리어,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,Glitch Baby,1
177,Fighting Baby,Fighting Baby,Other,랜덤 패밀리어,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,Fighting Baby,1
178,Lord of the Flies,Beelzebub,Other,Beelzebub 세트 해금,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,Beelzebub,1
179,Fart Baby,Farting Baby,Item,방귀쟁이 아기,Детето Пръдня,Prdící Děcko,Furz-Baby,Μωρό που Κλάνει,Farting Baby,Bébé Péteur,Bebè Scoreggione,ファーティング ベイビー,Farting Baby,Pierdzący Dzieciak,Farting Baby,Farting Baby,Farting Baby,Пукающий малыш,Bebé Tira-Pedos,Osuran Bebek,Малюк Пердун,Farting Baby,放屁宝宝,1
180,Purity,Purity,Item,순도,Чистота,Čistota,Reinheit,Αγνότητα,Purity,Pureté,Purezza,純潔,Purity,Czystość,Purity,Purity,Purity,Чистота,Pureza,Sadelik,Чистота,Purity,纯洁,1
181,D12,D12,Item,12면 주사위,D12,D12,D12,Δωδεκάπλευρο Ζάρι,D12,D12,D12,D12,D12,D12,D12,D12,D12,D12,D12,D12,D12,D12,十二面骰,1
182,Betrayal,Betrayal,Item,배신,Предателство,Zrada,Verrat,Προδοσία,Betrayal,Trahison,Tradimento,裏切り,Betrayal,Zdrada,Betrayal,Betrayal,Betrayal,Предательство,Traición,İhanet,Зрадник,Betrayal,背叛,1
183,Fate's Reward,Fate's Reward,Item,운명의 보상,Подарък от съдбата,Odměna Osudu,Fate's Reward,Η Ανταμοιβή της Μοίρας,Fate's Reward,Récompense du Destin,Dono del Destino,運命からのごほうび,Fate's Reward,Nagroda od Losu,Fate's Reward,Fate's Reward,Fate's Reward,Дар судьбы,Premio del destino,Kaderin Ödülü,Нагорода долі,Fate's Reward,宿命的报答,1
184,Athame,Athame,Item,마법 단검,Атаме,Athame,Athame,Αθάμη,Athame,Athamé,Athame,儀式の刃,Athame,Athame,Athame,Athame,Athame,Атаме,Athame,Athame,Атаме,Athame,祭祀之刃,1
185,Blind Rage,Blind Rage,Trinket,눈먼 분노,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,Blind Rage,1
186,Maw of the Void,Maw Of The Void,Item,공허의 구렁텅이,Паст от пустотата,Chřtán Prázdnoty,Schlund der Leere,Στόμα του Κενού,Maw Of The Void,Gouffre du Néant,Fauci dell'Oblio,モー オブ ザ ボイド,Maw of the Void,Paszcza z Pustki,Maw Of The Void,Maw Of The Void,Maw of the Void,Пасть бездны,Fauces del Vacío,Maw of the Void,Паща Порожнечі,Maw of the Void,虚空之喉,1
187,Empty Vessel,Empty Vessel,Item,빈 그릇,Празен съд,Prázdná Nádoba,Empty Vessel,Άδειο 'Σκάφος',Empty Vessel,Flacon Vide,Recipiente Vuoto,からっぽの器,Empty Vessel,Puste Naczynie,Empty Vessel,Empty Vessel,Empty Vessel,Пустой сосуд,Recipiente vacío,Boş Kase,Пуста посудина,Empty Vessel,空容器,1
188,Eden's Blessing,Eden's Blessing,Item,에덴의 축복,Благословията на Едем,Edenovo Požehnání,Eden's Blessing,Η Ευλογία του Εδέμ,Eden's Blessing,Bénédiction d'Éden,Benedizione di Eden,エデンのご加護,Eden's Blessing,Błogosławieństwo Edena,Eden's Blessing,Eden's Blessing,Eden's Blessing,Благословение Эдема,Bendición del Edén,Eden'in Kutsaması,Едемове благословення,Eden's Blessing,伊甸的祝福,1
189,Sworn Protector,Sworn Protector,Item,맹세한 수호자,Заклет протектор,Zapřísáhlý Ochránce,Sworn Protector,Ορκισμένος Προστάτης,Sworn Protector,Protecteur Dévoué,Eterno Protettore,誓約の守護者,Sworn Protector,Zaprzysiężony Obrońca,Sworn Protector,Sworn Protector,Sworn Protector,Присягнувший защитник,Protector fiel,Yeminli Koruyucu,Затятий захисник,Sworn Protector,宣誓守护者,1
190,Incubus,Incubus,Item,인큐버스,Инкуб,Inkubus,Brutus,Εφιάλτης,Incubus,Incube,Incubo,インキュバス,Incubus,Inkub,Incubus,Incubus,Incubus,Инкуб,Íncubo,Incubus,Інкуб,Incubus,淫魔,1
191,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Other,키퍼가 1코인을 가짐,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,Keeper now holds... A Penny!,1
192,Lil' Chest,Lil Chest,Item,꼬마 상자,Малък сандък,Maličká Truhla,Lil Chest,Μικρούλι Σεντούκι,Lil Chest,P'tit Coffre,Bauletto,小さな収納箱,Lil Chest,Skrzyneczka,Lil Chest,Lil Chest,Lil Chest,Маленький сундучок,Mini-Cofre,Minik Sandık,Крихітна скринька,Lil Chest,小箱子,1
193,Censer,Censer,Item,향로,Кадилница,Kadidelnice,Censer,Θυμιατήρι,Censer,Encensoir,Incensiere,香炉,Censer,Kadzielnica,Censer,Censer,Censer,Кадило,Incensario,Tütsülük,Кадило,Censer,香炉,1
194,Evil Eye,Evil Eye,Item,악마의 눈,Зло око,Oko Zla,Evil Eye,Κακό Μάτι,Evil Eye,Mauvais Œil,Malocchio,邪眼,Evil Eye,Złe Oko,Evil Eye,Evil Eye,Evil Eye,Злой глаз,Mal de Ojo,Nazar,Зле око,Evil Eye,邪恶之眼,1
195,My Shadow,My Shadow,Item,내 그림자,Моята сянка,Můj Stín,Mein Schatten,Η Σκιά Μου,My Shadow,Mon Ombre,La Mia Ombra,ぼくの影,My Shadow,Mój Cień,My Shadow,My Shadow,My Shadow,Моя тень,Mi sombra,Gölgem,Моя тінь,My Shadow,我的影子,1
196,Cracked Dice,Cracked Dice,Trinket,금이 간 주사위,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,Cracked Dice,1
197,Black Feather,Black Feather,Trinket,검은 깃털,Black Feather,↑ {{Damage}} +0.5 Poškození,Black Feather,Black Feather,Black Feather,↑ Dégâts {{ColorLime+0.2}},↑ {{Damage}} +0.2 Danni,↑ 攻撃力 +0.5,Black Feather,Black Feather,Black Feather,Black Feather,↑ {{Damage}} +0.2 Damage,Black Feather,↑ {{Damage}} Daño +0.2,Black Feather,Black Feather,↑ {{Damage}} +0.5 Sát thương,↑ {{Damage}} 伤害+0.2,1
198,Lusty Blood,Lusty Blood,Item,욕망의 피,Жадуваща кръв,Chutná Krev,Lusty Blood,Λαγνεϊκό Αίμα,Lusty Blood,Sang Salace,Sangue Furente,頑健ブラッド,Lusty Blood,Żądna Krew,Lusty Blood,Lusty Blood,Lusty Blood,Вожделенная кровь,Sangre lujuriosa,Tutkulu Kan,Ненаситна кров,Lusty Blood,血嗜,1
199,Lilith,Lilith,Character,릴리스,Lilith,Lilith,Lilith,Lilith,Lilith,Double les dégâts de l'{{ColorYellow}}Incube,"Il danno di ""Incubo"" viene raddoppiato",Lilith,Lilith,Lilit,Lilith,Lilith,Incubus damage is doubled,Lilith,Duplica el daño de Íncubo,Lilith,Lilith,Lilith,淫魔伤害翻倍,1
200,Key Bum,Key Bum,Item,열쇠 거지,Просяк за ключове,Klíčový Žebrák,Key Bum,Αλήτης Κλειδιών,Key Bum,Cléchard,Scrocchiave,キー バム,Key Bum,Klucznik,Key Bum,Key Bum,Key Bum,Ключник-бездельник,Pordiosero de Llaves,Anahtar Evsizi,Жебрак-ключник,Key Bum,钥匙乞丐,1
201,GB Bug,GB Bug,Item,게임 버그,Фатален бъг,Hru Rozbíjející Chyba,GB Bug,GB Μικροβλάβη,GB Bug,Bug,Bug Rompigioco,ＧＢバグ,GB Bug,GB Bug,GB Bug,GB Bug,GB Bug,Игровой баг,Error crítico,GB Hatası,Ігровий баг,GB Bug,恶性漏洞,1
202,Zodiac,Zodiac,Item,황도궁,Зодиак,Zvěrokruh,Zodiac,Ζωδιακός,Zodiac,Zodiaque,Zodiaco,ゾディアック,Zodiac,Zodiak,Zodiac,Zodiac,Zodiac,Зодиак,Zodíaco,Burç,Зодіак,Zodiac,黄道十二宫,1
203,Box of Friends,Box of Friends,Item,친구 상자,Кутия с приятели,Krabice s Kamarády,Box of Friends,Κουτί των Φίλων,Box of Friends,Boîte de Potes,Scatola degli Amici,おともだちボックス,Box of Friends,Pudełko z Przyjaciółmi,Box of Friends,Box of Friends,Box of Friends,Коробка с друзьями,Cajón de Amigos,Arkadaş Sandığı,Коробка з друзями,Box of Friends,朋友盒,1
204,Rib of Greed,Rib of Greed,Trinket,그리드의 갈비뼈,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,Rib of Greed,1
205,Cry Baby,Cry Baby,Other,랜덤 패밀리어,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,Cry Baby,1
206,Red Baby,Red Baby,Other,랜덤 패밀리어,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,Red Baby,1
207,Green Baby,Green Baby,Other,랜덤 패밀리어,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,Green Baby,1
208,Brown Baby,Brown Baby,Other,랜덤 패밀리어,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,Brown Baby,1
209,Blue Baby,Blue Baby,Other,랜덤 패밀리어,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,Blue Baby,1
210,Lil' Baby,Lil' Baby,Other,랜덤 패밀리어,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,Lil' Baby,1
211,Rage Baby,Rage Baby,Other,랜덤 패밀리어,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,Rage Baby,1
212,Black Baby,Black Baby,Other,랜덤 패밀리어,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,Black Baby,1
213,Long Baby,Long Baby,Other,랜덤 패밀리어,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,Long Baby,1
214,Yellow Baby,Yellow Baby,Other,랜덤 패밀리어,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,Yellow Baby,1
215,White Baby,White Baby,Other,랜덤 패밀리어,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,White Baby,1
216,Big Baby,Big Baby,Other,랜덤 패밀리어,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,Big Baby,1
217,Noose Baby,Noose Baby,Other,랜덤 패밀리어,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,Noose Baby,1
218,Rune Bag,Rune Bag,Item,룬 가방,Торбичка с руни,Pytlíček Run,Runenbeutel,Σάκος Ρουνικών,Rune Bag,Sac de Runes,Sacco di Rune,ルーン袋,Rune Bag,Wór na Runy,Rune Bag,Rune Bag,Rune Bag,Мешочек с рунами,Bolsa de Runas,Rune Kesesi,Мішечок для рун,Rune Bag,符文袋,1
219,Cambion Conception,Cambion Conception,Item,몽마의 자식들,Демонично зачатие,Početí Kambionu,Cambion Conception,Κακή Σύλληψη,Cambion Conception,Conception Impure,Immorale Concezione,忌血の胎児,Cambion Conception,Poczęcie Kambiona,Cambion Conception,Cambion Conception,Cambion Conception,Зачатие Камбиона,Impura Concepción,Cambion Peydahı,Демонічне зачаття,Cambion Conception,恶魔受胎,1
220,Serpent's Kiss,Serpent's Kiss,Item,독뱀의 키스,Змийска целувка,Hadí Polibek,Schlangenkuss,Το Φιλί του Φιδιού,Serpent's Kiss,Baiser du Serpent,Bacio del Serpente,サーペントのくちづけ,Serpent's Kiss,Pocałunek Węża,Serpent's Kiss,Serpent's Kiss,Serpent's Kiss,Змеиный поцелуй,Beso de Serpiente,Serpent`in öpücüğü,Зміїний поцілунок,Serpent's Kiss,蛇蝎之吻,1
221,Succubus,Succubus,Item,서큐버스,Сукуб,Sukubus,Succubus,Χαίρο,Succubus,Succube,Succuba,サキュバス,Succubus,Sukkub,Succubus,Succubus,Succubus,Суккуб,Súcubo,Succubus,Сукуб,Succubus,魅魔,1
222,Immaculate Conception,Immaculate Conception,Item,원죄없는 잉태,Непорочно зачатие,Neposkvrněné Početí,Immaculate Conception,Αγνή Σύλληψη,Immaculate Conception,Immaculée Conception,Immacolata Concezione,純血の胎児,Immaculate Conception,Niepokalane Poczęcie,Immaculate Conception,Immaculate Conception,Immaculate Conception,Непорочное зачатие,Inmaculada Concepción,Kusursuz Peydah,Непорочне зачаття,Immaculate Conception,圣灵受胎,1
223,Goat Head Baby,Goat Head Baby,Other,랜덤 패밀리어,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,Goat Head Baby,1
224,Gold Heart,Gold Heart,Pickup,황금 하트,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,Gold Heart,1
225,Get out of Jail Free Card,Get out of Jail Free Card,Card,감옥 탈출 카드,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,Get out of Jail Free Card,1
226,Gold Bomb,Gold Bomb,Pickup,황금 폭탄,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,Gold Bomb,1
227,2 new pills,"Percs!,Addicted!",Pill,"진통제!,과다복용!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!","Percs!,Addicted!",1
228,2 new pills,"Re-Lax,???",Pill,"휴-식,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???","Re-Lax,???",1
229,Poker Chip,Poker Chip,Trinket,포커 칩,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,Poker Chip,1
230,Stud Finder,Stud Finder,Trinket,벽체 탐지기,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,Stud Finder,1
231,D8,D8,Item,8면 주사위,D8,D8,D8,Οκτάπλευρο Ζάρι,D8,D8,D8,D8,D8,D8,D8,D8,D8,D8,D8,D8,D8,D8,八面骰,1
